Year,Month,FEDFUNDS
2002,1,1.73
2002,2,1.74
2002,3,1.73
2002,4,1.75
2002,5,1.75
2002,6,1.75
2002,7,1.73
2002,8,1.74
2002,9,1.75
2002,10,1.75
2002,11,1.34
2002,12,1.24
2003,1,1.24
2003,2,1.26
2003,3,1.25
2003,4,1.26
2003,5,1.26
2003,6,1.22
2003,7,1.01
2003,8,1.03
2003,9,1.01
2003,10,1.01
2003,11,1.0
2003,12,0.98
2004,1,1.0
2004,2,1.01
2004,3,1.0
2004,4,1.0
2004,5,1.0
2004,6,1.03
2004,7,1.26
2004,8,1.43
2004,9,1.61
2004,10,1.76
2004,11,1.93
2004,12,2.16
2005,1,2.28
2005,2,2.5
2005,3,2.63
2005,4,2.79
2005,5,3.0
2005,6,3.04
2005,7,3.26
2005,8,3.5
2005,9,3.62
2005,10,3.78
2005,11,4.0
2005,12,4.16
2006,1,4.29
2006,2,4.49
2006,3,4.59
2006,4,4.79
2006,5,4.94
2006,6,4.99
2006,7,5.24
2006,8,5.25
2006,9,5.25
2006,10,5.25
2006,11,5.25
2006,12,5.24
2007,1,5.25
2007,2,5.26
2007,3,5.26
2007,4,5.25
2007,5,5.25
2007,6,5.25
2007,7,5.26
2007,8,5.02
2007,9,4.94
2007,10,4.76
2007,11,4.49
2007,12,4.24
2008,1,3.94
2008,2,2.98
2008,3,2.61
2008,4,2.28
2008,5,1.98
2008,6,2.0
2008,7,2.01
2008,8,2.0
2008,9,1.81
2008,10,0.97
2008,11,0.39
2008,12,0.16
2009,1,0.15
2009,2,0.22
2009,3,0.18
2009,4,0.15
2009,5,0.18
2009,6,0.21
2009,7,0.16
2009,8,0.16
2009,9,0.15
2009,10,0.12
2009,11,0.12
2009,12,0.12
2010,1,0.11
2010,2,0.13
2010,3,0.16
2010,4,0.2
2010,5,0.2
2010,6,0.18
2010,7,0.18
2010,8,0.19
2010,9,0.19
2010,10,0.19
2010,11,0.19
2010,12,0.18
2011,1,0.17
2011,2,0.16
2011,3,0.14
2011,4,0.1
2011,5,0.09
2011,6,0.09
2011,7,0.07
2011,8,0.1
2011,9,0.08
2011,10,0.07
2011,11,0.08
2011,12,0.07
2012,1,0.08
2012,2,0.1
2012,3,0.13
2012,4,0.14
2012,5,0.16
2012,6,0.16
2012,7,0.16
2012,8,0.13
2012,9,0.14
2012,10,0.16
2012,11,0.16
2012,12,0.16
2013,1,0.14
2013,2,0.15
2013,3,0.14
2013,4,0.15
2013,5,0.11
2013,6,0.09
2013,7,0.09
2013,8,0.08
2013,9,0.08
2013,10,0.09
2013,11,0.08
2013,12,0.09
2014,1,0.07
2014,2,0.07
2014,3,0.08
2014,4,0.09
2014,5,0.09
2014,6,0.1
2014,7,0.09
2014,8,0.09
2014,9,0.09
2014,10,0.09
2014,11,0.09
2014,12,0.12
2015,1,0.11
2015,2,0.11
2015,3,0.11
2015,4,0.12
2015,5,0.12
2015,6,0.13
2015,7,0.13
2015,8,0.14
2015,9,0.14
2015,10,0.12
2015,11,0.12
2015,12,0.24
2016,1,0.34
2016,2,0.38
2016,3,0.36
2016,4,0.37
2016,5,0.37
2016,6,0.38
2016,7,0.39
2016,8,0.4
2016,9,0.4
2016,10,0.4
2016,11,0.41
2016,12,0.54
2017,1,0.65
2017,2,0.66
2017,3,0.79
2017,4,0.9
2017,5,0.91
2017,6,1.04
2017,7,1.15
2017,8,1.16
2017,9,1.15
2017,10,1.15
2017,11,1.16
2017,12,1.3
2018,1,1.41
2018,2,1.42
2018,3,1.51
2018,4,1.69
2018,5,1.7
2018,6,1.82
2018,7,1.91
2018,8,1.91
2018,9,1.95
2018,10,2.19
2018,11,2.2
2018,12,2.27
2019,1,2.4
2019,2,2.4
2019,3,2.41
2019,4,2.42
2019,5,2.39
2019,6,2.38
2019,7,2.4
2019,8,2.13
2019,9,2.04
2019,10,1.83
2019,11,1.55
2019,12,1.55
2020,1,1.55
2020,2,1.58
2020,3,0.65
2020,4,0.05
2020,5,0.05
2020,6,0.08
2020,7,0.09
2020,8,0.1
2020,9,0.09
2020,10,0.09
2020,11,0.09
2020,12,0.09
2021,1,0.09
2021,2,0.08
2021,3,0.07
2021,4,0.07
2021,5,0.06
2021,6,0.08
2021,7,0.1
2021,8,0.09
2021,9,0.08
2021,10,0.08
2021,11,0.08
2021,12,0.08
2022,1,0.08
2022,2,0.08
2022,3,0.2
2022,4,0.33
2022,5,0.77
